Year,Month,Production,Date
1920,January,34008,1920-01-01
1920,February,33193,1920-02-01
1920,March,36171,1920-03-01
1920,April,34945,1920-04-01
1920,May,36622,1920-05-01
1920,June,36663,1920-06-01
1920,July,37746,1920-07-01
1920,August,38906,1920-08-01
1920,September,37521,1920-09-01
1920,October,39584,1920-10-01
1920,November,38609,1920-11-01
1920,December,38961,1920-12-01
1921,January,38138,1921-01-01
1921,February,35524,1921-02-01
1921,March,41105,1921-03-01
1921,April,40233,1921-04-01
1921,May,42189,1921-05-01
1921,June,40548,1921-06-01
1921,July,40461,1921-07-01
1921,August,41109,1921-08-01
1921,September,36763,1921-09-01
1921,October,35832,1921-10-01
1921,November,38108,1921-11-01
1921,December,42173,1921-12-01
1922,January,43696,1922-01-01
1922,February,41314,1922-02-01
1922,March,47188,1922-03-01
1922,April,45167,1922-04-01
1922,May,47002,1922-05-01
1922,June,46087,1922-06-01
1922,July,47134,1922-07-01
1922,August,47059,1922-08-01
1922,September,45805,1922-09-01
1922,October,48410,1922-10-01
1922,November,48027,1922-11-01
1922,December,50642,1922-12-01
1923,January,52527,1923-01-01
1923,February,48588,1923-02-01
1923,March,56969,1923-03-01
1923,April,59008,1923-04-01
1923,May,62377,1923-05-01
1923,June,62845,1923-06-01
1923,July,65925,1923-07-01
1923,August,66422,1923-08-01
1923,September,65306,1923-09-01
1923,October,67506,1923-10-01
1923,November,65388,1923-11-01
1923,December,59546,1923-12-01
1924,January,57273,1924-01-01
1924,February,55889,1924-02-01
1924,March,60141,1924-03-01
1924,April,59830,1924-04-01
1924,May,61834,1924-05-01
1924,June,59583,1924-06-01
1924,July,61932,1924-07-01
1924,August,62398,1924-08-01
1924,September,60376,1924-09-01
1924,October,60469,1924-10-01
1924,November,56782,1924-11-01
1924,December,57433,1924-12-01
1925,January,53802,1925-01-01
1925,February,48571,1925-02-01
1925,March,53597,1925-03-01
1925,April,51914,1925-04-01
1925,May,53367,1925-05-01
1925,June,51915,1925-06-01
1925,July,52138,1925-07-01
1925,August,52198,1925-08-01
1925,September,51559,1925-09-01
1925,October,51769,1925-10-01
1925,November,49921,1925-11-01
1925,December,49622,1925-12-01
1926,January,59981,1926-01-01
1926,February,54892,1926-02-01
1926,March,60880,1926-03-01
1926,April,60371,1926-04-01
1926,May,62822,1926-05-01
1926,June,61789,1926-06-01
1926,July,65168,1926-07-01
1926,August,67009,1926-08-01
1926,September,65782,1926-09-01
1926,October,69664,1926-10-01
1926,November,69891,1926-11-01
1926,December,72625,1926-12-01
1927,January,71758,1927-01-01
1927,February,68122,1927-02-01
1927,March,75514,1927-03-01
1927,April,73132,1927-04-01
1927,May,76845,1927-05-01
1927,June,75303,1927-06-01
1927,July,78780,1927-07-01
1927,August,78788,1927-08-01
1927,September,75909,1927-09-01
1927,October,77534,1927-10-01
1927,November,74493,1927-11-01
1927,December,74951,1927-12-01
1928,January,72793,1928-01-01
1928,February,68565,1928-02-01
1928,March,74528,1928-03-01
1928,April,72393,1928-04-01
1928,May,75277,1928-05-01
1928,June,72676,1928-06-01
1928,July,75584,1928-07-01
1928,August,77807,1928-08-01
1928,September,76484,1928-09-01
1928,October,79751,1928-10-01
1928,November,76123,1928-11-01
1928,December,79493,1928-12-01
1929,January,82054,1929-01-01
1929,February,75456,1929-02-01
1929,March,82463,1929-03-01
1929,April,80412,1929-04-01
1929,May,84499,1929-05-01
1929,June,83407,1929-06-01
1929,July,91309,1929-07-01
1929,August,92165,1929-08-01
1929,September,87453,1929-09-01
1929,October,88430,1929-10-01
1929,November,78758,1929-11-01
1929,December,80917,1929-12-01
1930,January,79633,1930-01-01
1930,February,74290,1930-02-01
1930,March,78226,1930-03-01
1930,April,77483,1930-04-01
1930,May,80528,1930-05-01
1930,June,77060,1930-06-01
1930,July,76922,1930-07-01
1930,August,74831,1930-08-01
1930,September,71216,1930-09-01
1930,October,72893,1930-10-01
1930,November,67957,1930-11-01
1930,December,66972,1930-12-01
1931,January,65737,1931-01-01
1931,February,60540,1931-02-01
1931,March,69429,1931-03-01
1931,April,72860,1931-04-01
1931,May,76822,1931-05-01
1931,June,75011,1931-06-01
1931,July,78210,1931-07-01
1931,August,68014,1931-08-01
1931,September,64378,1931-09-01
1931,October,73297,1931-10-01
1931,November,73456,1931-11-01
1931,December,73327,1931-12-01
1932,January,67014,1932-01-01
1932,February,62512,1932-02-01
1932,March,67456,1932-03-01
1932,April,67915,1932-04-01
1932,May,68854,1932-05-01
1932,June,65144,1932-06-01
1932,July,66655,1932-07-01
1932,August,66568,1932-08-01
1932,September,65518,1932-09-01
1932,October,65598,1932-10-01
1932,November,63630,1932-11-01
1932,December,58295,1932-12-01
1933,January,65159,1933-01-01
1933,February,61252,1933-02-01
1933,March,75185,1933-03-01
1933,April,65709,1933-04-01
1933,May,86638,1933-05-01
1933,June,84386,1933-06-01
1933,July,85321,1933-07-01
1933,August,85485,1933-08-01
1933,September,78321,1933-09-01
1933,October,76077,1933-10-01
1933,November,69966,1933-11-01
1933,December,72157,1933-12-01
1934,January,72017,1934-01-01
1934,February,65383,1934-02-01
1934,March,75426,1934-03-01
1934,April,75645,1934-04-01
1934,May,79966,1934-05-01
1934,June,79636,1934-06-01
1934,July,81339,1934-07-01
1934,August,79105,1934-08-01
1934,September,75759,1934-09-01
1934,October,76593,1934-10-01
1934,November,72399,1934-11-01
1934,December,74797,1934-12-01
1935,January,78715,1935-01-01
1935,February,72763,1935-02-01
1935,March,81488,1935-03-01
1935,April,78427,1935-04-01
1935,May,82454,1935-05-01
1935,June,82338,1935-06-01
1935,July,85485,1935-07-01
1935,August,84816,1935-08-01
1935,September,84109,1935-09-01
1935,October,88160,1935-10-01
1935,November,86476,1935-11-01
1935,December,88711,1935-12-01
1936,January,88820,1936-01-01
1936,February,82120,1936-02-01
1936,March,90568,1936-03-01
1936,April,90479,1936-04-01
1936,May,93739,1936-05-01
1936,June,90185,1936-06-01
1936,July,92075,1936-07-01
1936,August,95090,1936-08-01
1936,September,90972,1936-09-01
1936,October,95795,1936-10-01
1936,November,91018,1936-11-01
1936,December,97652,1936-12-01
1937,January,98567,1937-01-01
1937,February,93173,1937-02-01
1937,March,106724,1937-03-01
1937,April,104979,1937-04-01
1937,May,110911,1937-05-01
1937,June,105812,1937-06-01
1937,July,110721,1937-07-01
1937,August,115090,1937-08-01
1937,September,109980,1937-09-01
1937,October,110911,1937-10-01
1937,November,104206,1937-11-01
1937,December,106579,1937-12-01
1938,January,106007,1938-01-01
1938,February,94662,1938-02-01
1938,March,106524,1938-03-01
1938,April,102702,1938-04-01
1938,May,98674,1938-05-01
1938,June,94277,1938-06-01
1938,July,102898,1938-07-01
1938,August,106165,1938-08-01
1938,September,98661,1938-09-01
1938,October,101830,1938-10-01
1938,November,98567,1938-11-01
1938,December,102287,1938-12-01
1939,January,102490,1939-01-01
1939,February,93475,1939-02-01
1939,March,106768,1939-03-01
1939,April,105510,1939-04-01
1939,May,110541,1939-05-01
1939,June,104607,1939-06-01
1939,July,110937,1939-07-01
1939,August,80865,1939-08-01
1939,September,108168,1939-09-01
1939,October,114198,1939-10-01
1939,November,111887,1939-11-01
1939,December,114810,1939-12-01
1940,January,117227,1940-01-01
1940,February,108399,1940-02-01
1940,March,121560,1940-03-01
1940,April,119000,1940-04-01
1940,May,123854,1940-05-01
1940,June,119302,1940-06-01
1940,July,127493,1940-07-01
1940,August,130633,1940-08-01
1940,September,130407,1940-09-01
1940,October,136503,1940-10-01
1940,November,133646,1940-11-01
1940,December,135152,1940-12-01
1941,January,110647,1941-01-01
1941,February,100791,1941-02-01
1941,March,112817,1941-03-01
1941,April,111080,1941-04-01
1941,May,116976,1941-05-01
1941,June,115027,1941-06-01
1941,July,118251,1941-07-01
1941,August,121354,1941-08-01
1941,September,119446,1941-09-01
1941,October,126145,1941-10-01
1941,November,123355,1941-11-01
1941,December,128293,1941-12-01
1942,January,128262,1942-01-01
1942,February,113961,1942-02-01
1942,March,114473,1942-03-01
1942,April,105053,1942-04-01
1942,May,110192,1942-05-01
1942,June,108595,1942-06-01
1942,July,111782,1942-07-01
1942,August,120429,1942-08-01
1942,September,115801,1942-09-01
1942,October,120311,1942-10-01
1942,November,116101,1942-11-01
1942,December,120519,1942-12-01
1943,January,117372,1943-01-01
1943,February,108487,1943-02-01
1943,March,121648,1943-03-01
1943,April,119100,1943-04-01
1943,May,123957,1943-05-01
1943,June,120111,1943-06-01
1943,July,127629,1943-07-01
1943,August,130796,1943-08-01
1943,September,130564,1943-09-01
1943,October,136837,1943-10-01
1943,November,133824,1943-11-01
1943,December,135288,1943-12-01
1944,January,135682,1944-01-01
1944,February,128842,1944-02-01
1944,March,136814,1944-03-01
1944,April,133588,1944-04-01
1944,May,141189,1944-05-01
